Prompt 1,Prompt 2,doc_name,sent_idx,text,mention pair,label
"[0, 1]","[0, 1]",35_10ecb.xml,[0 1],"Chargers ' Jackson arrested on suspicion of DUI  But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense. ","[{'mention': 'Jackson', 'start_token_id': 2, 'end_token_id': 2}
 {'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}]",0.0
"[1, 1]","[1, 1]",35_10ecb.xml,[0 1],"Chargers ' Jackson arrested on suspicion of DUI  But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense. ","[{'mention': 'Jackson', 'start_token_id': 2, 'end_token_id': 2}
 {'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}]",1.0
"[1, 1]","[1, 1]",35_10ecb.xml,[0 1],"Chargers ' Jackson arrested on suspicion of DUI  But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense. ","[{'mention': 'Jackson', 'start_token_id': 2, 'end_token_id': 2}
 {'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}]",0.0
"[1, 1]","[0, 1]",35_10ecb.xml,[0 1],"Chargers ' Jackson arrested on suspicion of DUI  But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense. ","[{'mention': 'Jackson', 'start_token_id': 2, 'end_token_id': 2}
 {'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}]",0.0
"[1, 1]","[1, 1]",35_10ecb.xml,[0 1],"Chargers ' Jackson arrested on suspicion of DUI  But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}]",0.0
"[0, 1]","[0, 1]",35_10ecb.xml,[0 1],"Chargers ' Jackson arrested on suspicion of DUI  But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}]",0.0
"[1, 1]","[0, 1]",35_10ecb.xml,[0 1],"Chargers ' Jackson arrested on suspicion of DUI  But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense. ","[{'mention': 'earlier this week', 'start_token_id': 16, 'end_token_id': 18}
 {'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}]",0.0
"[1, 1]","[0, 1]",35_10ecb.xml,[0 1],"Chargers ' Jackson arrested on suspicion of DUI  But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}]",0.0
"[1, 1]","[1, 1]",35_10ecb.xml,[0 1],"Chargers ' Jackson arrested on suspicion of DUI  But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense. ","[{'mention': 'he', 'start_token_id': 20, 'end_token_id': 20}
 {'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}]",0.0
"[1, 1]","[0, 1]",35_10ecb.xml,[0 1],"Chargers ' Jackson arrested on suspicion of DUI  But after being arrested for suspicion DUI earlier this week, he has bigger worries than his role in the Chargers ' offense. ","[{'mention': 'Chargers', 'start_token_id': 29, 'end_token_id': 29}
 {'mention': 'offense', 'start_token_id': 31, 'end_token_id': 31}]",0.0
