data,model,prefix_num,prefix_source,beam_size,sample,temperature,repeat,prompt_type,valid,acc,auc,p,r,F1
dev,ChatGLM-6B,2,ecb,1,do,1,5,prompt 1,100%,0.35868102288021536,0.6089195245814387,0.1010020677588675,0.905848787446505,0.18174012593016597
dev,ChatGLM-6B,2,ecb,1,do,1,5,prompt 2,100%,0.23805518169582773,0.568903696397547,0.09058531012700759,0.9614835948644793,0.16557145489160474
dev,ChatGLM-6B,2,ecb,1,do,1,5,prompt 3,100%,0.4933826828174069,0.6549428127629167,0.11862882270637617,0.8466476462196861,0.20809957924263672
dev,ChatGLM-6B,2,ecb,1,do,1,5,prompt 4,100%,0.14849708389412292,0.5297634107609076,0.08327285921625545,0.9821683309557775,0.15352882149626493
dev,ChatGLM-6B,2,ecb,1,do,1,5,prompt 5,100%,0.3699528936742934,0.6199294026531961,0.1036039667822301,0.9165477888730386,0.1861644331763854
dev,ChatGLM-6B,2,ecb,1,do,1,5,prompt majority,100%,0.30148048452220727,0.5977770214362058,0.09703995333916594,0.949358059914408,0.17608149226088107
dev,ChatGLM-6B,2,ecb,1,do,1,5,prompt mean,100%,0.292788245850157,0.5927338390595819,0.09589732496935612,0.948644793152639,0.174186366315238
dev,ChatGLM-6B,4,ecb,1,do,1,5,prompt 1,100%,0.36002691790040375,0.6096498958535022,0.10119521912350597,0.905848787446505,0.18205275229357795
dev,ChatGLM-6B,4,ecb,1,do,1,5,prompt 2,100%,0.23968147151188873,0.5691338258621932,0.09065193965517242,0.9600570613409415,0.16566153846153844
dev,ChatGLM-6B,4,ecb,1,do,1,5,prompt 3,100%,0.49730820995962316,0.6541372511054984,0.11877394636015326,0.8402282453637661,0.20812720848056537
dev,ChatGLM-6B,4,ecb,1,do,1,5,prompt 4,100%,0.1480484522207268,0.5298461549147684,0.08328296869333977,0.9828815977175464,0.15355471361711612
dev,ChatGLM-6B,4,ecb,1,do,1,5,prompt 5,100%,0.37079407806191117,0.6213644884318811,0.10392125221881555,0.9186875891583453,0.1867207886343868
dev,ChatGLM-6B,4,ecb,1,do,1,5,prompt majority,100%,0.30181695827725435,0.5969810105205762,0.09690601284296556,0.9472182596291013,0.17582417582417584
dev,ChatGLM-6B,4,ecb,1,do,1,5,prompt mean,100%,0.2930125616868551,0.5912245613821834,0.09563334536268495,0.9450784593437945,0.17369076489480237
dev,ChatGLM-6B,4,ecb,1,no,1,5,prompt 1,100%,0.3550919694930462,0.6059932641222912,0.1003008233058898,0.9037089871611983,0.1805614935157475
dev,ChatGLM-6B,4,ecb,1,no,1,5,prompt 2,100%,0.2354755495737999,0.5675038181260923,0.09030615662892745,0.9614835948644793,0.1651050278645355
dev,ChatGLM-6B,4,ecb,1,no,1,5,prompt 3,100%,0.49854194706146254,0.6577425693058261,0.1197296752067783,0.8466476462196861,0.20979144574054437
dev,ChatGLM-6B,4,ecb,1,no,1,5,prompt 4,100%,0.1442911619560341,0.5291120067584523,0.08314782504061127,0.985734664764622,0.15335959607168617
dev,ChatGLM-6B,4,ecb,1,no,1,5,prompt 5,100%,0.37303723642889186,0.6222555726407715,0.10419365284974093,0.9179743223965763,0.18714555765595461
dev,ChatGLM-6B,4,ecb,1,no,1,5,prompt majority,100%,0.3028824585015702,0.5988640260891536,0.09727598042795589,0.9500713266761769,0.1764822789002981
dev,ChatGLM-6B,4,ecb,1,no,1,5,prompt mean,100%,0.3028824585015702,0.5988640260891536,0.09727598042795589,0.9500713266761769,0.1764822789002981
givenDoc,ChatGPT-3.5,2,ecb,1,no,0,1,prompt 1,100%,0.7857142857142857,0.8072916666666667,0.2631578947368421,0.8333333333333334,0.39999999999999997
givenDoc,ChatGPT-3.5,2,ecb,1,no,0,1,prompt 2,100%,0.7857142857142857,0.65625,0.2,0.5,0.28571428571428575
givenDoc,ChatGPT-3.5,2,ecb,1,no,0,1,prompt 3,100%,0.9,0.7942708333333333,0.4444444444444444,0.6666666666666666,0.5333333333333333
givenDoc,ChatGPT-3.5,2,ecb,1,no,0,1,prompt 4,100%,0.8857142857142857,0.7864583333333333,0.4,0.6666666666666666,0.5
givenDoc,ChatGPT-3.5,2,ecb,1,no,0,1,prompt 5,100%,0.8571428571428571,0.6953125,0.3,0.5,0.37499999999999994
givenDoc,ChatGPT-3.5,2,ecb,1,no,0,1,prompt majority,100%,0.8714285714285714,0.7786458333333333,0.36363636363636365,0.6666666666666666,0.4705882352941177
givenDoc,ChatGPT-3.5,2,ecb,1,no,0,1,prompt mean,100%,0.8714285714285714,0.7786458333333333,0.36363636363636365,0.6666666666666666,0.4705882352941177
dev,GPT2,0,ecb,1,do,1,5,prompt 1,100%,0.7035105428443248,0.48909135979120344,0.0724191063174114,0.2346647646219686,0.11068124474348193
dev,GPT2,0,ecb,1,do,1,5,prompt 2,100%,0.8368102288021534,0.49227388401752825,0.06716417910447761,0.08345221112696148,0.07442748091603055
dev,GPT2,0,ecb,1,do,1,5,prompt 3,100%,0.9106101390758188,0.49905004849172085,0.06756756756756757,0.010699001426533523,0.01847290640394089
dev,GPT2,0,ecb,1,do,1,5,prompt 4,100%,0.7902646926873037,0.49767812784622956,0.07644927536231884,0.15049928673323823,0.10139356078808265
dev,GPT2,0,ecb,1,do,1,5,prompt 5,100%,0.8644571556751907,0.5030363110520315,0.08503679476696648,0.07417974322396577,0.07923809523809525
dev,GPT2,0,ecb,1,do,1,5,prompt majority,100%,0.9062920592193809,0.5006211889284329,0.08359133126934984,0.01925820256776034,0.03130434782608695
dev,GPT2,0,ecb,1,do,1,5,prompt mean,100%,0.569425751458053,0.4893972005907568,0.07491194798157681,0.39443651925820256,0.12591074681238618
dev,GPT2,10,ecb,1,do,1,5,prompt 1,100%,0.37578510542844323,0.5004426768819086,0.07872174590802807,0.6483594864479315,0.14039694184879142
dev,GPT2,10,ecb,1,do,1,5,prompt 2,100%,0.32542620008972634,0.50247273046157,0.07912871287128713,0.7125534950071327,0.14243958080844088
dev,GPT2,10,ecb,1,do,1,5,prompt 3,100%,0.2957043517272319,0.5108087915446414,0.08072153325817362,0.7660485021398002,0.14605289997960155
dev,GPT2,10,ecb,1,do,1,5,prompt 4,100%,0.27383355764917006,0.5015498683300007,0.07891473998978922,0.7717546362339515,0.14318798385495932
dev,GPT2,10,ecb,1,do,1,5,prompt 5,100%,0.2795536114849708,0.49910852507894554,0.07845303867403315,0.7596291012838802,0.1422180677038125
dev,GPT2,10,ecb,1,do,1,5,prompt majority,100%,0.20491251682368775,0.5101431482544283,0.08034423860202339,0.8723252496433667,0.1471366698748797
dev,GPT2,10,ecb,1,do,1,5,prompt mean,100%,0.18713548676536562,0.5122394058396708,0.08064826084171417,0.8980028530670471,0.14800446717216245
dev,GPT2,2,ecb,1,do,1,5,prompt 1,100%,0.3805518169582773,0.5131416470514689,0.08156889968760847,0.6704707560627675,0.14544329258858116
dev,GPT2,2,ecb,1,do,1,5,prompt 2,100%,0.3840847913862719,0.5026632243477929,0.07922705314009662,0.6433666191155493,0.14108078517244077
dev,GPT2,2,ecb,1,do,1,5,prompt 3,100%,0.45928667563930015,0.5193338270777421,0.08367016976556184,0.5905848787446505,0.14657461497610197
dev,GPT2,2,ecb,1,do,1,5,prompt 4,100%,0.34067967698519513,0.4944402093175301,0.07745042030523137,0.6768901569186876,0.13899670450384474
dev,GPT2,2,ecb,1,do,1,5,prompt 5,100%,0.34107222969941675,0.5037868691192392,0.07941798081612746,0.6968616262482168,0.14258610624635143
dev,GPT2,2,ecb,1,do,1,5,prompt majority,100%,0.3016487213997308,0.5163180067080937,0.08181336562476349,0.7710413694721826,0.14793020868970236
dev,GPT2,2,ecb,1,do,1,5,prompt mean,100%,0.28617092866756394,0.5108545482803021,0.08069889686829052,0.7774607703281027,0.1462204037829499
dev,GPT2,2,ecb,1,no,1,1,prompt 1,100%,0.8418012561686855,0.49530854539597813,0.07129909365558912,0.08416547788873038,0.07719986915276414
dev,GPT2,2,ecb,1,no,1,1,prompt 2,100%,0.9175078510542845,0.4985525850819149,0.0273972602739726,0.0014265335235378032,0.002711864406779661
dev,GPT2,2,ecb,1,no,1,1,prompt 3,100%,0.9213772992373261,0.5,0.0,0.0,0.0
dev,GPT2,2,ecb,1,no,1,1,prompt 4,100%,0.9002916105877075,0.4996483590523233,0.07657657657657657,0.024251069900142655,0.03683640303358614
dev,GPT2,2,ecb,1,no,1,1,prompt 5,100%,0.9213212202781517,0.49996956786366403,0.0,0.0,0.0
dev,GPT2,2,ecb,1,no,1,1,prompt majority,100%,0.9184051144010767,0.49903949926329044,0.03508771929824561,0.0014265335235378032,0.0027416038382453733
dev,GPT2,2,ecb,1,no,1,1,prompt mean,100%,0.8382682817406909,0.4946961257850059,0.07068366164542295,0.08701854493580599,0.07800511508951408
dev,GPT2,4,ecb,1,do,1,5,prompt 1,100%,0.49478465679676986,0.4974960125653032,0.07790478304294751,0.5007132667617689,0.1348314606741573
dev,GPT2,4,ecb,1,do,1,5,prompt 2,100%,0.5393674293405114,0.49233144894303676,0.07615729218516674,0.43651925820256776,0.12968849332485696
dev,GPT2,4,ecb,1,do,1,5,prompt 3,100%,0.6455809780170481,0.5065851496384176,0.08151803948264125,0.34165477888730383,0.13162956856279198
dev,GPT2,4,ecb,1,do,1,5,prompt 4,100%,0.4505944369672499,0.5005901924300821,0.07877571500250878,0.5599144079885877,0.13811911674144453
dev,GPT2,4,ecb,1,do,1,5,prompt 5,100%,0.3492597577388964,0.5039893448451608,0.07947238252267107,0.6875891583452212,0.14247709133904818
dev,GPT2,4,ecb,1,do,1,5,prompt majority,100%,0.496859578286227,0.4976433978760887,0.07794380017841213,0.4985734664764622,0.13481195756991318
dev,GPT2,4,ecb,1,do,1,5,prompt mean,100%,0.5185621354867653,0.5002869997907519,0.07870967741935483,0.47860199714693297,0.1351868641079883
dev,GPT2,4,ecb,1,no,1,1,prompt 1,100%,0.8418012561686855,0.49530854539597813,0.07129909365558912,0.08416547788873038,0.07719986915276414
dev,GPT2,4,ecb,1,no,1,1,prompt 2,100%,0.9175078510542845,0.4985525850819149,0.0273972602739726,0.0014265335235378032,0.002711864406779661
