Prompt 1,doc_name,sent_idx,text,mention pair,label
"[0, 1]",21_1ecb.xml,[2 3], Police said alcohol was a factor.  A woman hit and killed by a motorist Wednesday night outside a Sam's Club store in Bloomington might be alive if the driver had listened to bystanders who frantically pleaded with him to stop. ,"[{'mention': 'woman', 'start_token_id': 18, 'end_token_id': 18}
 {'mention': 'motorist', 'start_token_id': 45, 'end_token_id': 45}]",0.0
"[0, 1]",21_1ecb.xml,[2 3], Police said alcohol was a factor.  A woman hit and killed by a motorist Wednesday night outside a Sam's Club store in Bloomington might be alive if the driver had listened to bystanders who frantically pleaded with him to stop. ,"[{'mention': 'woman', 'start_token_id': 18, 'end_token_id': 18}
 {'mention': 'Wednesday night', 'start_token_id': 46, 'end_token_id': 47}]",0.0
"[0, 1]",21_1ecb.xml,[2 3], Police said alcohol was a factor.  A woman hit and killed by a motorist Wednesday night outside a Sam's Club store in Bloomington might be alive if the driver had listened to bystanders who frantically pleaded with him to stop. ,"[{'mention': 'woman', 'start_token_id': 18, 'end_token_id': 18}
 {'mention': ""outside a Sam 's Club store in Bloomington"", 'start_token_id': 48, 'end_token_id': 55}]",0.0
"[0, 1]",21_1ecb.xml,[2 3], Police said alcohol was a factor.  A woman hit and killed by a motorist Wednesday night outside a Sam's Club store in Bloomington might be alive if the driver had listened to bystanders who frantically pleaded with him to stop. ,"[{'mention': 'woman', 'start_token_id': 18, 'end_token_id': 18}
 {'mention': 'driver', 'start_token_id': 61, 'end_token_id': 61}]",0.0
"[0, 1]",21_1ecb.xml,[2 3], Police said alcohol was a factor.  A woman hit and killed by a motorist Wednesday night outside a Sam's Club store in Bloomington might be alive if the driver had listened to bystanders who frantically pleaded with him to stop. ,"[{'mention': 'woman', 'start_token_id': 18, 'end_token_id': 18}
 {'mention': 'bystanders', 'start_token_id': 65, 'end_token_id': 65}]",0.0
"[0, 1]",21_1ecb.xml,[2 3], Police said alcohol was a factor.  A woman hit and killed by a motorist Wednesday night outside a Sam's Club store in Bloomington might be alive if the driver had listened to bystanders who frantically pleaded with him to stop. ,"[{'mention': 'woman', 'start_token_id': 18, 'end_token_id': 18}
 {'mention': 'him', 'start_token_id': 70, 'end_token_id': 70}]",0.0
"[0, 1]",21_1ecb.xml,[2 3], Police said alcohol was a factor.  A woman hit and killed by a motorist Wednesday night outside a Sam's Club store in Bloomington might be alive if the driver had listened to bystanders who frantically pleaded with him to stop. ,"[{'mention': 'motorist', 'start_token_id': 45, 'end_token_id': 45}
 {'mention': 'Wednesday night', 'start_token_id': 46, 'end_token_id': 47}]",0.0
"[0, 1]",21_1ecb.xml,[2 3], Police said alcohol was a factor.  A woman hit and killed by a motorist Wednesday night outside a Sam's Club store in Bloomington might be alive if the driver had listened to bystanders who frantically pleaded with him to stop. ,"[{'mention': 'motorist', 'start_token_id': 45, 'end_token_id': 45}
 {'mention': ""outside a Sam 's Club store in Bloomington"", 'start_token_id': 48, 'end_token_id': 55}]",0.0
"[1, 1]",21_1ecb.xml,[2 3], Police said alcohol was a factor.  A woman hit and killed by a motorist Wednesday night outside a Sam's Club store in Bloomington might be alive if the driver had listened to bystanders who frantically pleaded with him to stop. ,"[{'mention': 'motorist', 'start_token_id': 45, 'end_token_id': 45}
 {'mention': 'driver', 'start_token_id': 61, 'end_token_id': 61}]",1.0
"[0, 1]",21_1ecb.xml,[2 3], Police said alcohol was a factor.  A woman hit and killed by a motorist Wednesday night outside a Sam's Club store in Bloomington might be alive if the driver had listened to bystanders who frantically pleaded with him to stop. ,"[{'mention': 'motorist', 'start_token_id': 45, 'end_token_id': 45}
 {'mention': 'bystanders', 'start_token_id': 65, 'end_token_id': 65}]",0.0
